Названия строк;s_1;s_2_corr
7956;1;no_data
7987;1;no_data
7988;1;no_data
7989;1;no_data
7990;1;no_data
7991;1;no_data
7992;1;no_data
7993;1;no_data
7994;1;no_data
7995;1;no_data
7997;1;no_data
7999;1;no_data
8000;1;no_data
8001;1;no_data
8002;1;no_data
8003;1;no_data
8004;1;no_data
8005;1;no_data
8006;1;no_data
8007;1;no_data
8008;1;no_data
8009;1;no_data
8011;1;no_data
8012;1;no_data
8013;1;no_data
8014;1;no_data
8015;1;no_data
8017;1;no_data
8018;1;no_data
8019;1;no_data
8020;1;no_data
8021;1;no_data
8022;1;no_data
8040;0;no_data
8041;0;no_data
8043;1;no_data
8044;1;no_data
8045;1;no_data
8084;1;no_data
8085;1;no_data
8086;1;no_data
8087;1;no_data
8088;1;no_data
8089;0;no_data
8090;1;no_data
8091;0;no_data
8092;1;no_data
8093;1;no_data
8094;1;no_data
8095;1;no_data
8096;1;no_data
8097;1;no_data
8098;1;no_data
8099;0;no_data
8100;1;no_data
8101;1;no_data
8102;1;no_data
8103;1;no_data
8104;1;no_data
8105;1;no_data
8108;1;no_data
8110;1;no_data
8114;1;no_data
8116;1;no_data
8117;1;no_data
8121;1;no_data
8122;1;no_data
8123;1;no_data
8124;1;no_data
8125;1;no_data
8126;1;no_data
8127;1;no_data
8128;1;no_data
8129;1;no_data
8130;1;no_data
8131;1;no_data
8132;1;no_data
8133;1;no_data
8134;1;no_data
8135;1;no_data
8136;1;no_data
8137;0;no_data
8138;0;no_data
8139;0;no_data
8140;1;no_data
8141;1;no_data
8142;1;no_data
8143;1;no_data
8144;1;no_data
8145;1;no_data
8146;1;no_data
8147;1;no_data
8148;1;no_data
8149;1;no_data
8150;1;no_data
8151;1;no_data
8152;1;no_data
8153;0;no_data
8154;0;no_data
8155;0;no_data
8156;0;no_data
8157;0;no_data
8585;1;no_data
8586;1;no_data
8587;1;no_data
8588;1;no_data
8589;0;no_data
8590;1;no_data
8591;1;no_data
8592;1;no_data
8593;1;no_data
